ZDB-BAC-090114-810|ZDB-BAC-030616-43|RP71-PACKTRZ|
ZDB-BAC-020313-27|ZDB-BAC_END-020313-27||
ZDB-BAC-020313-3|ZDB-BAC_END-020313-3||
ZDB-BAC-020313-4|ZDB-BAC_END-020313-4||
ZDB-BAC-020313-7|ZDB-BAC_END-020313-7||
ZDB-BAC_END-010529-16|ZDB-BAC_END-020313-9|bacd0008-2-b12|
ZDB-BAC-021220-11|ZDB-BAC_END-021220-11||
ZDB-BAC-021220-1164|ZDB-BAC_END-021220-1164||
ZDB-BAC-021220-1167|ZDB-BAC_END-021220-1167||
ZDB-BAC-021220-1170|ZDB-BAC_END-021220-1170||
ZDB-BAC-021220-1173|ZDB-BAC_END-021220-1173||
ZDB-BAC-021220-1176|ZDB-BAC_END-021220-1176||
ZDB-BAC-021220-1179|ZDB-BAC_END-021220-1179||
ZDB-BAC-021220-1182|ZDB-BAC_END-021220-1182||
ZDB-BAC-021220-1185|ZDB-BAC_END-021220-1185||
ZDB-BAC-021220-1188|ZDB-BAC_END-021220-1188||
ZDB-BAC-021220-1191|ZDB-BAC_END-021220-1191||
ZDB-BAC-021220-1194|ZDB-BAC_END-021220-1194||
ZDB-BAC-021220-1197|ZDB-BAC_END-021220-1197||
ZDB-BAC-021220-12|ZDB-BAC_END-021220-12||
ZDB-BAC-021220-1201|ZDB-BAC_END-021220-1201||
ZDB-BAC-021220-1204|ZDB-BAC_END-021220-1204||
ZDB-BAC-021220-1207|ZDB-BAC_END-021220-1207||
ZDB-BAC-021220-1210|ZDB-BAC_END-021220-1210||
ZDB-BAC-021220-1213|ZDB-BAC_END-021220-1213||
ZDB-BAC-021220-1216|ZDB-BAC_END-021220-1216||
ZDB-BAC-021220-1219|ZDB-BAC_END-021220-1219||
ZDB-BAC-021220-1224|ZDB-BAC_END-021220-1224||
ZDB-BAC_END-030610-389|ZDB-BAC_END-021220-1226|zk010o10|
ZDB-BAC-021220-1228|ZDB-BAC_END-021220-1228||
ZDB-BAC-021220-1230|ZDB-BAC_END-021220-1230||
ZDB-STS-020313-692|ZDB-BAC_END-021220-1231|chunp6910|
ZDB-BAC-021220-1234|ZDB-BAC_END-021220-1234||
ZDB-BAC-021220-1235|ZDB-BAC_END-021220-1235||
ZDB-BAC-021220-1237|ZDB-BAC_END-021220-1237||
ZDB-STS-020313-685|ZDB-BAC_END-021220-1238|chunp6870|
ZDB-STS-020313-399|ZDB-BAC_END-021220-1239|chunp6923|
ZDB-BAC_END-030610-1010|ZDB-BAC_END-021220-1241|zk014c05|
ZDB-BAC_END-030610-1615|ZDB-BAC_END-021220-1242|zk014e15|
ZDB-BAC-021220-1244|ZDB-BAC_END-021220-1244||
ZDB-BAC-021220-1247|ZDB-BAC_END-021220-1247||
ZDB-BAC-021220-1249|ZDB-BAC_END-021220-1249||
ZDB-BAC-021220-1251|ZDB-BAC_END-021220-1251||
ZDB-BAC-021220-1253|ZDB-BAC_END-021220-1253||
ZDB-STS-020313-98|ZDB-BAC_END-021220-1254|chunp6879|
ZDB-BAC_END-030610-420|ZDB-BAC_END-021220-1256|zk018h06|
ZDB-BAC-021220-1258|ZDB-BAC_END-021220-1258||
ZDB-BAC-021220-1260|ZDB-BAC_END-021220-1260||
ZDB-BAC_END-030610-960|ZDB-BAC_END-021220-1261|zk001a13|
ZDB-BAC-021220-1263|ZDB-BAC_END-021220-1263||
ZDB-BAC-021220-1266|ZDB-BAC_END-021220-1266||
ZDB-BAC-021220-1269|ZDB-BAC_END-021220-1269||
ZDB-BAC_END-030610-434|ZDB-BAC_END-021220-1271|zk022f13|
ZDB-BAC_END-030610-1567|ZDB-BAC_END-021220-1273|zk002e05|
ZDB-BAC-021220-1276|ZDB-BAC_END-021220-1276||
ZDB-BAC-021220-1279|ZDB-BAC_END-021220-1279||
ZDB-BAC_END-030610-1050|ZDB-BAC_END-021220-1280|zk030m22|
ZDB-BAC-021220-1283|ZDB-BAC_END-021220-1283||
ZDB-BAC-021220-1286|ZDB-BAC_END-021220-1286||
ZDB-STS-020313-684|ZDB-BAC_END-021220-1287|chunp6863|
ZDB-BAC-021220-1289|ZDB-BAC_END-021220-1289||
ZDB-BAC_END-030610-976|ZDB-BAC_END-021220-1290|zk005a16|
ZDB-BAC-021220-1293|ZDB-BAC_END-021220-1293||
ZDB-BAC-021220-1296|ZDB-BAC_END-021220-1296||
ZDB-BAC-021220-1299|ZDB-BAC_END-021220-1299||
ZDB-BAC-021220-1301|ZDB-BAC_END-021220-1301||
ZDB-BAC-021220-1303|ZDB-BAC_END-021220-1303||
ZDB-BAC_END-030610-1591|ZDB-BAC_END-021220-1305|zk008l13|
ZDB-BAC-021220-1307|ZDB-BAC_END-021220-1307||
ZDB-BAC-021220-1309|ZDB-BAC_END-021220-1309||
ZDB-BAC-021220-1312|ZDB-BAC_END-021220-1312||
ZDB-BAC-021220-1315|ZDB-BAC_END-021220-1315||
ZDB-BAC-021220-1318|ZDB-BAC_END-021220-1318||
ZDB-BAC-021220-1321|ZDB-BAC_END-021220-1321||
ZDB-BAC-021220-1324|ZDB-BAC_END-021220-1324||
ZDB-BAC-021220-15|ZDB-BAC_END-021220-15||
ZDB-BAC-021220-18|ZDB-BAC_END-021220-18||
ZDB-BAC-021220-20|ZDB-BAC_END-021220-20||
ZDB-BAC-021220-23|ZDB-BAC_END-021220-23||
ZDB-BAC-021220-26|ZDB-BAC_END-021220-26||
ZDB-BAC-021220-280|ZDB-BAC_END-021220-280||
ZDB-BAC-021220-283|ZDB-BAC_END-021220-283||
ZDB-BAC-021220-286|ZDB-BAC_END-021220-286||
ZDB-BAC-021220-289|ZDB-BAC_END-021220-289||
ZDB-BAC-021220-291|ZDB-BAC_END-021220-291||
ZDB-BAC-021220-294|ZDB-BAC_END-021220-294||
ZDB-BAC-021220-297|ZDB-BAC_END-021220-297||
ZDB-BAC-021220-3|ZDB-BAC_END-021220-3||
ZDB-BAC-021220-301|ZDB-BAC_END-021220-301||
ZDB-BAC-021220-304|ZDB-BAC_END-021220-304||
ZDB-BAC-021220-307|ZDB-BAC_END-021220-307||
ZDB-BAC-021220-31|ZDB-BAC_END-021220-31||
ZDB-BAC-021220-312|ZDB-BAC_END-021220-312||
ZDB-BAC-021220-315|ZDB-BAC_END-021220-315||
ZDB-BAC-021220-318|ZDB-BAC_END-021220-318||
ZDB-BAC-021220-320|ZDB-BAC_END-021220-320||
ZDB-BAC-021220-323|ZDB-BAC_END-021220-323||
ZDB-BAC-021220-326|ZDB-BAC_END-021220-326||
ZDB-BAC-021220-329|ZDB-BAC_END-021220-329||
ZDB-BAC-021220-331|ZDB-BAC_END-021220-331||
ZDB-BAC-021220-334|ZDB-BAC_END-021220-334||
ZDB-BAC-021220-337|ZDB-BAC_END-021220-337||
ZDB-BAC-021220-34|ZDB-BAC_END-021220-34||
ZDB-STS-020313-388|ZDB-BAC_END-021220-342|chunp6857|
ZDB-BAC-021220-345|ZDB-BAC_END-021220-345||
ZDB-BAC-021220-347|ZDB-BAC_END-021220-347||
ZDB-BAC-021220-349|ZDB-BAC_END-021220-349||
ZDB-BAC-021220-351|ZDB-BAC_END-021220-351||
ZDB-BAC-021220-353|ZDB-BAC_END-021220-353||
ZDB-BAC-021220-355|ZDB-BAC_END-021220-355||
ZDB-BAC_END-030610-404|ZDB-BAC_END-021220-357|zk014a13|
ZDB-BAC-021220-36|ZDB-BAC_END-021220-36||
ZDB-BAC-021220-362|ZDB-BAC_END-021220-362||
ZDB-BAC-021220-364|ZDB-BAC_END-021220-364||
ZDB-BAC_END-030610-1016|ZDB-BAC_END-021220-366|zk016a08|
ZDB-BAC_END-030610-1019|ZDB-BAC_END-021220-368|zk016l17|
ZDB-BAC-021220-37|ZDB-BAC_END-021220-37||
ZDB-BAC-021220-372|ZDB-BAC_END-021220-372||
ZDB-BAC-021220-375|ZDB-BAC_END-021220-375||
ZDB-BAC_END-030610-1030|ZDB-BAC_END-021220-377|zk019k20|
ZDB-BAC-021220-379|ZDB-BAC_END-021220-379||
ZDB-SSLP-021220-30|ZDB-BAC_END-021220-38|zk20p18|
ZDB-BAC-021220-382|ZDB-BAC_END-021220-382||
ZDB-STS-020313-585|ZDB-BAC_END-021220-383|zfishj-a1302g01|
ZDB-BAC-021220-386|ZDB-BAC_END-021220-386||
ZDB-BAC-021220-389|ZDB-BAC_END-021220-389||
ZDB-BAC-021220-392|ZDB-BAC_END-021220-392||
ZDB-BAC_END-030610-1044|ZDB-BAC_END-021220-393|zk030c08|
ZDB-BAC-021220-396|ZDB-BAC_END-021220-396||
ZDB-STS-020313-691|ZDB-BAC_END-021220-398|chunp6903|
ZDB-BAC-021220-400|ZDB-BAC_END-021220-400||
ZDB-BAC-021220-402|ZDB-BAC_END-021220-402||
ZDB-BAC-021220-404|ZDB-BAC_END-021220-404||
ZDB-BAC-021220-407|ZDB-BAC_END-021220-407||
ZDB-BAC-021220-410|ZDB-BAC_END-021220-410||
ZDB-STS-020313-402|ZDB-BAC_END-021220-411|chunp6946|
ZDB-BAC-021220-414|ZDB-BAC_END-021220-414||
ZDB-BAC_END-030610-985|ZDB-BAC_END-021220-416|zk007j21|
ZDB-BAC_END-030610-380|ZDB-BAC_END-021220-417|zk007n16|
ZDB-BAC-021220-420|ZDB-BAC_END-021220-420||
ZDB-BAC_END-030610-1593|ZDB-BAC_END-021220-422|zk009a24|
ZDB-BAC_END-030610-1596|ZDB-BAC_END-021220-424|zk009p06|
ZDB-BAC-021220-427|ZDB-BAC_END-021220-427||
ZDB-BAC-021220-430|ZDB-BAC_END-021220-430||
ZDB-BAC-021220-433|ZDB-BAC_END-021220-433||
ZDB-BAC-021220-436|ZDB-BAC_END-021220-436||
ZDB-BAC-021220-439|ZDB-BAC_END-021220-439||
ZDB-BAC-021220-5|ZDB-BAC_END-021220-5||
ZDB-GENE-030131-10068|ZDB-BAC_END-021220-50|zk30a8|
ZDB-BAC-021220-722|ZDB-BAC_END-021220-722||
ZDB-BAC-021220-725|ZDB-BAC_END-021220-725||
ZDB-BAC-021220-728|ZDB-BAC_END-021220-728||
ZDB-BAC-021220-731|ZDB-BAC_END-021220-731||
ZDB-BAC-021220-734|ZDB-BAC_END-021220-734||
ZDB-BAC-021220-737|ZDB-BAC_END-021220-737||
ZDB-BAC-021220-740|ZDB-BAC_END-021220-740||
ZDB-BAC-021220-743|ZDB-BAC_END-021220-743||
ZDB-BAC-021220-746|ZDB-BAC_END-021220-746||
ZDB-BAC-021220-749|ZDB-BAC_END-021220-749||
ZDB-BAC-021220-752|ZDB-BAC_END-021220-752||
ZDB-BAC-021220-755|ZDB-BAC_END-021220-755||
ZDB-BAC-021220-758|ZDB-BAC_END-021220-758||
ZDB-BAC-021220-761|ZDB-BAC_END-021220-761||
ZDB-BAC-021220-764|ZDB-BAC_END-021220-764||
ZDB-BAC-021220-767|ZDB-BAC_END-021220-767||
ZDB-BAC-021220-770|ZDB-BAC_END-021220-770||
ZDB-BAC-021220-773|ZDB-BAC_END-021220-773||
ZDB-BAC-021220-776|ZDB-BAC_END-021220-776||
ZDB-BAC-021220-779|ZDB-BAC_END-021220-779||
ZDB-BAC-021220-784|ZDB-BAC_END-021220-784||
ZDB-BAC_END-030610-390|ZDB-BAC_END-021220-786|zk011b20|
ZDB-BAC_END-030610-391|ZDB-BAC_END-021220-787|zk011d23|
ZDB-BAC_END-030610-998|ZDB-BAC_END-021220-788|zk011h20|
ZDB-BAC-021220-790|ZDB-BAC_END-021220-790||
ZDB-BAC-021220-792|ZDB-BAC_END-021220-792||
ZDB-BAC-021220-795|ZDB-BAC_END-021220-795||
ZDB-BAC-021220-798|ZDB-BAC_END-021220-798||
ZDB-BAC-021220-800|ZDB-BAC_END-021220-800||
ZDB-BAC-021220-802|ZDB-BAC_END-021220-802||
ZDB-BAC-021220-804|ZDB-BAC_END-021220-804||
ZDB-BAC-021220-807|ZDB-BAC_END-021220-807||
ZDB-STS-020313-105|ZDB-BAC_END-021220-808|chunp6922|
ZDB-BAC-021220-811|ZDB-BAC_END-021220-811||
ZDB-BAC_END-030610-419|ZDB-BAC_END-021220-813|zk018c07|
ZDB-BAC_END-030610-1026|ZDB-BAC_END-021220-815|zk018h19|
ZDB-BAC-021220-818|ZDB-BAC_END-021220-818||
ZDB-BAC-021220-821|ZDB-BAC_END-021220-821||
ZDB-BAC-021220-824|ZDB-BAC_END-021220-824||
ZDB-BAC_END-030610-1037|ZDB-BAC_END-021220-826|zk021k02|
ZDB-STS-020313-689|ZDB-BAC_END-021220-827|chunp6888|
ZDB-BAC-021220-830|ZDB-BAC_END-021220-830||
ZDB-BAC_END-030610-1568|ZDB-BAC_END-021220-832|zk002i11|
ZDB-BAC_END-030610-1569|ZDB-BAC_END-021220-833|zk002m15|
ZDB-STS-020313-284|ZDB-BAC_END-021220-834|zfishb-a67e07|
ZDB-BAC-021220-837|ZDB-BAC_END-021220-837||
ZDB-BAC_END-030610-1051|ZDB-BAC_END-021220-839|zk030p22|
ZDB-BAC_END-030610-968|ZDB-BAC_END-021220-840|zk003c05|
ZDB-BAC-021220-842|ZDB-BAC_END-021220-842||
ZDB-BAC-021220-845|ZDB-BAC_END-021220-845||
ZDB-BAC_END-030610-1577|ZDB-BAC_END-021220-847|zk004m04|
ZDB-BAC-021220-849|ZDB-BAC_END-021220-849||
ZDB-BAC-021220-851|ZDB-BAC_END-021220-851||
ZDB-BAC_END-030610-1583|ZDB-BAC_END-021220-852|zk005k12|
ZDB-BAC-021220-854|ZDB-BAC_END-021220-854||
ZDB-BAC-021220-856|ZDB-BAC_END-021220-856||
ZDB-BAC-021220-858|ZDB-BAC_END-021220-858||
ZDB-BAC_END-030610-1589|ZDB-BAC_END-021220-860|zk007n07|
ZDB-STS-020313-99|ZDB-BAC_END-021220-862|chunp6882|
ZDB-BAC-021220-865|ZDB-BAC_END-021220-865||
ZDB-STS-020313-95|ZDB-BAC_END-021220-866|chunp6860|
ZDB-BAC-021220-869|ZDB-BAC_END-021220-869||
ZDB-BAC-021220-872|ZDB-BAC_END-021220-872||
ZDB-BAC-021220-875|ZDB-BAC_END-021220-875||
ZDB-BAC-021220-878|ZDB-BAC_END-021220-878||
ZDB-BAC-021220-881|ZDB-BAC_END-021220-881||
ZDB-BAC-021220-9|ZDB-BAC_END-021220-9||
ZDB-BAC_END-030610-49|ZDB-BAC_END-030610-1510|zc051i02|
ZDB-EST-010312-249|ZDB-EST-000329-450|ai444434|
ZDB-EST-030604-56|ZDB-EST-000426-422|wz10639|
ZDB-EST-030604-27|ZDB-EST-000426-94|wz10359|
ZDB-EST-010312-747|ZDB-EST-000613-537|ai942928|
ZDB-EST-010312-498|ZDB-EST-001025-103|ai626633|
ZDB-EST-010312-6|ZDB-EST-001215-27|ai957697|
ZDB-STS-010312-33|ZDB-EST-010111-545|13fj24b12|
ZDB-EST-010423-65|ZDB-EST-010312-532|aw165263|
ZDB-EST-010312-748|ZDB-EST-010406-82|aw019441|
ZDB-EST-010529-26|ZDB-EST-010423-6|ai943329|
ZDB-EST-020816-53|ZDB-EST-010427-469|ai882602|
ZDB-STS-010423-1|ZDB-EST-010529-16|20fc45a04|
ZDB-EST-010529-1|ZDB-EST-011115-20|af244934-22s|
ZDB-EST-030604-272|ZDB-EST-020816-275|wz12367|
ZDB-EST-030604-177|ZDB-EST-030604-143|wz11792|
ZDB-EST-030604-483|ZDB-EST-031118-86|wz13387|
ZDB-BAC-050218-3020|ZDB-FOSMID-050218-3020|ZFOS-47C12|
ZDB-BAC-060503-1366|ZDB-FOSMID-060503-1366|ZFOS-476E6|
ZDB-BAC-060614-175|ZDB-FOSMID-060614-175|ZFOS-900A7|
ZDB-BAC-070404-35|ZDB-FOSMID-070404-35|ZFOS-313C6|
ZDB-BAC-070608-374|ZDB-FOSMID-070608-374|ZFOS-207B3|
ZDB-FOSMID-090114-161|ZDB-FOSMID-071002-12|CH1073-402B18|
ZDB-BAC-090114-149|ZDB-FOSMID-090114-0149|ZFOS-1762D12|
ZDB-BAC-090114-293|ZDB-FOSMID-090114-0293|ZFOS-810H6|
ZDB-BAC-090114-329|ZDB-FOSMID-090114-0329|ZFOS-2548D7|
ZDB-BAC-090114-471|ZDB-FOSMID-090114-471|ZFOS-452G4|
ZDB-BAC-090114-529|ZDB-FOSMID-090114-529|ZFOS-2733E12|
ZDB-BAC-090114-817|ZDB-FOSMID-090114-817|ZFOS-739D3|
ZDB-BAC-090114-820|ZDB-FOSMID-090114-820|ZFOS-798D3|
ZDB-BAC-090114-824|ZDB-FOSMID-090114-824|ZFOS-400D3|
ZDB-BAC-100127-103|ZDB-FOSMID-100127-0103|ZFOS-1233H1|
ZDB-BAC-100127-117|ZDB-FOSMID-100127-0117|ZFOS-1056E6|
ZDB-BAC-100127-154|ZDB-FOSMID-100127-0154|ZFOS-741A10|
ZDB-BAC-100127-207|ZDB-FOSMID-100127-0207|ZFOS-2415A2|
ZDB-BAC-100127-231|ZDB-FOSMID-100127-0231|ZFOS-1481C12|
ZDB-BAC-100127-247|ZDB-FOSMID-100127-0247|ZFOS-1179H2|
ZDB-BAC-100127-332|ZDB-FOSMID-100127-0332|ZFOS-756G12|
ZDB-BAC-100127-344|ZDB-FOSMID-100127-0344|ZFOS-1243C12|
ZDB-BAC-100127-425|ZDB-FOSMID-100127-0425|ZFOS-749D4|
ZDB-BAC-100127-45|ZDB-FOSMID-100127-045|ZFOS-1468H2|
ZDB-BAC-100127-47|ZDB-FOSMID-100127-047|ZFOS-446E12|
ZDB-BAC-100127-493|ZDB-FOSMID-100127-0493|ZFOS-692B10|
ZDB-BAC-100127-512|ZDB-FOSMID-100127-0512|ZFOS-2171E4|
ZDB-BAC-100127-522|ZDB-FOSMID-100127-0522|ZFOS-2131B9|
ZDB-BAC-100127-587|ZDB-FOSMID-100127-0587|ZFOS-226G1|
ZDB-BAC-100127-67|ZDB-FOSMID-100127-067|ZFOS-1388F10|
ZDB-BAC-100127-1018|ZDB-FOSMID-100127-1018|ZFOS-367G9|
ZDB-BAC-100127-1040|ZDB-FOSMID-100127-1040|ZFOS-433A6|
ZDB-BAC-100127-1051|ZDB-FOSMID-100127-1051|ZFOS-979F1|
ZDB-BAC-100127-1080|ZDB-FOSMID-100127-1080|ZFOS-1962A1|
ZDB-BAC-100127-1084|ZDB-FOSMID-100127-1084|ZFOS-1058E7|
ZDB-BAC-100127-1090|ZDB-FOSMID-100127-1090|ZFOS-2694G8|
ZDB-BAC-100127-1095|ZDB-FOSMID-100127-1095|ZFOS-223E1|
ZDB-BAC-100127-1101|ZDB-FOSMID-100127-1101|ZFOS-1406D9|
ZDB-BAC-100127-1111|ZDB-FOSMID-100127-1111|ZFOS-405G10|
ZDB-BAC-100127-1119|ZDB-FOSMID-100127-1119|ZFOS-631D6|
ZDB-BAC-100127-1127|ZDB-FOSMID-100127-1127|ZFOS-1687F11|
ZDB-BAC-100127-1130|ZDB-FOSMID-100127-1130|ZFOS-1172B9|
ZDB-BAC-100127-1136|ZDB-FOSMID-100127-1136|ZFOS-412B2|
ZDB-BAC-100127-1142|ZDB-FOSMID-100127-1142|ZFOS-1393C1|
ZDB-BAC-100127-1149|ZDB-FOSMID-100127-1149|ZFOS-1161F11|
ZDB-BAC-100127-1160|ZDB-FOSMID-100127-1160|ZFOS-1404B8|
ZDB-BAC-100127-1166|ZDB-FOSMID-100127-1166|ZFOS-2658H6|
ZDB-BAC-100127-1171|ZDB-FOSMID-100127-1171|ZFOS-1092G3|
ZDB-BAC-100127-1177|ZDB-FOSMID-100127-1177|ZFOS-295B12|
ZDB-BAC-100127-1269|ZDB-FOSMID-100127-1269|ZFOS-2739A9|
ZDB-BAC-100127-620|ZDB-FOSMID-100127-620|ZFOS-524D12|
ZDB-BAC-100127-654|ZDB-FOSMID-100127-654|ZFOS-339H8|
ZDB-BAC-100127-698|ZDB-FOSMID-100127-698|ZFOS-722A8|
ZDB-BAC-100127-706|ZDB-FOSMID-100127-706|ZFOS-1309C3|
ZDB-BAC-100127-763|ZDB-FOSMID-100127-763|ZFOS-137B5|
ZDB-BAC-100127-799|ZDB-FOSMID-100127-799|ZFOS-884E10|
ZDB-BAC-100127-873|ZDB-FOSMID-100127-873|ZFOS-258C6|
ZDB-BAC-100127-891|ZDB-FOSMID-100127-891|ZFOS-323E3|
